"Device: USB-2408-2AO"
"Serial Number: 2060DB1"
"Channel Count: 2"
"Sample Count: 192"
"Start Time: 7/20/2026 3:55:25.3 PM"
"Scan Rate: 10"
"Sample","Time (s)","AI0 (°C)","AI1 (°C)"
"0","0.0","28.972","28.993"
"1","0.1","29.012","28.995"
"2","0.2","29.007","29.126"
"3","0.3","28.993","29.083"
"4","0.4","29.045","29.053"
"5","0.5","29.048","29.053"
"6","0.6","29.017","28.991"
"7","0.7","28.946","28.991"
"8","0.8","28.961","28.999"
"9","0.9","28.946","28.989"
"10","1.0","28.931","28.968"
"11","1.1","28.944","28.997"
"12","1.2","28.908","29.010"
"13","1.3","28.917","29.021"
"14","1.4","28.905","29.002"
"15","1.5","52.369","30.463"
"16","1.6","68.764","31.270"
"17","1.7","72.653","31.882"
"18","1.8","80.843","32.303"
"19","1.9","92.714","32.461"
"20","2.0","102.540","32.600"
"21","2.1","107.807","32.527"
"22","2.2","113.454","32.670"
"23","2.3","117.371","32.782"
"24","2.4","121.150","33.002"
"25","2.5","125.349","33.159"
"26","2.6","127.109","33.551"
"27","2.7","129.065","34.148"
"28","2.8","132.421","34.469"
"29","2.9","134.503","34.663"
"30","3.0","134.455","34.743"
"31","3.1","133.029","34.819"
"32","3.2","132.022","34.522"
"33","3.3","131.987","34.524"
"34","3.4","134.142","34.788"
"35","3.5","133.676","35.146"
"36","3.6","132.090","35.415"
"37","3.7","130.029","35.535"
"38","3.8","129.752","35.447"
"39","3.9","127.619","35.640"
"40","4.0","128.526","36.017"
"41","4.1","130.232","36.208"
"42","4.2","131.187","36.421"
"43","4.3","131.003","36.677"
"44","4.4","131.640","36.881"
"45","4.5","132.084","37.056"
"46","4.6","131.510","37.224"
"47","4.7","132.486","37.375"
"48","4.8","131.175","37.523"
"49","4.9","132.214","37.691"
"50","5.0","133.009","37.819"
"51","5.1","133.069","37.906"
"52","5.2","132.646","38.081"
"53","5.3","131.813","38.342"
"54","5.4","132.499","38.421"
"55","5.5","132.876","38.570"
"56","5.6","132.872","38.684"
"57","5.7","133.172","38.820"
"58","5.8","134.163","38.899"
"59","5.9","134.651","39.099"
"60","6.0","135.033","39.293"
"61","6.1","134.839","39.485"
"62","6.2","135.862","39.674"
"63","6.3","135.385","39.761"
"64","6.4","137.026","39.991"
"65","6.5","136.827","40.307"
"66","6.6","137.570","40.472"
"67","6.7","137.387","40.667"
"68","6.8","139.016","40.774"
"69","6.9","138.576","41.132"
"70","7.0","138.513","41.249"
"71","7.1","137.530","41.408"
"72","7.2","137.310","41.568"
"73","7.3","137.324","41.793"
"74","7.4","137.216","42.008"
"75","7.5","136.767","42.105"
"76","7.6","136.317","42.208"
"77","7.7","135.419","42.450"
"78","7.8","135.611","42.675"
"79","7.9","134.881","42.874"
"80","8.0","134.882","43.138"
"81","8.1","135.296","43.373"
"82","8.2","135.412","43.532"
"83","8.3","135.636","43.757"
"84","8.4","135.853","43.959"
"85","8.5","136.236","44.212"
"86","8.6","136.728","44.412"
"87","8.7","137.190","44.745"
"88","8.8","137.498","45.216"
"89","8.9","137.549","45.417"
"90","9.0","137.550","45.509"
"91","9.1","137.267","45.588"
"92","9.2","137.057","45.623"
"93","9.3","137.194","45.692"
"94","9.4","136.831","45.919"
"95","9.5","137.596","46.157"
"96","9.6","138.329","46.237"
"97","9.7","137.902","46.436"
"98","9.8","138.076","46.642"
"99","9.9","138.273","46.815"
"100","10.0","138.225","47.025"
"101","10.1","138.539","47.192"
"102","10.2","138.865","47.410"
"103","10.3","138.896","47.515"
"104","10.4","140.344","47.763"
"105","10.5","140.348","47.920"
"106","10.6","140.561","48.004"
"107","10.7","140.696","48.191"
"108","10.8","140.294","48.355"
"109","10.9","140.645","48.614"
"110","11.0","141.166","48.757"
"111","11.1","141.305","48.935"
"112","11.2","141.976","49.244"
"113","11.3","141.762","49.459"
"114","11.4","142.162","49.728"
"115","11.5","142.590","50.054"
"116","11.6","143.047","50.189"
"117","11.7","143.328","50.527"
"118","11.8","142.799","50.849"
"119","11.9","142.673","51.124"
"120","12.0","142.220","51.352"
"121","12.1","141.785","51.646"
"122","12.2","142.041","51.878"
"123","12.3","142.288","52.187"
"124","12.4","142.602","52.452"
"125","12.5","143.037","52.618"
"126","12.6","143.317","52.891"
"127","12.7","143.807","53.179"
"128","12.8","143.643","53.407"
"129","12.9","143.609","53.469"
"130","13.0","144.544","53.716"
"131","13.1","145.128","53.848"
"132","13.2","144.824","54.040"
"133","13.3","145.022","54.194"
"134","13.4","145.491","54.351"
"135","13.5","144.492","54.495"
"136","13.6","144.398","54.659"
"137","13.7","144.482","54.858"
"138","13.8","144.364","54.954"
"139","13.9","144.412","55.104"
"140","14.0","144.936","55.221"
"141","14.1","144.040","55.325"
"142","14.2","143.597","55.364"
"143","14.3","143.878","55.496"
"144","14.4","144.407","55.539"
"145","14.5","144.631","55.684"
"146","14.6","144.544","55.837"
"147","14.7","144.195","55.983"
"148","14.8","143.526","56.188"
"149","14.9","143.341","56.240"
"150","15.0","143.151","56.307"
