"Device: USB-2408-2AO"
"Serial Number: 2060DB1"
"Channel Count: 1"
"Sample Count: 5579"
"Start Time: 7/6/2026 2:44:41.193 PM"
"Scan Rate: 152.438995361328"
"Sample","Time (s)","AI0 (°C)"
"0","0.000","29.334"
"1","0.007","29.265"
"2","0.013","29.852"
"3","0.020","28.731"
"4","0.026","30.101"
"5","0.033","29.349"
"6","0.039","29.118"
"7","0.046","29.894"
"8","0.052","28.626"
"9","0.059","29.692"
"10","0.066","29.472"
"11","0.072","29.052"
"12","0.079","29.953"
"13","0.085","28.618"
"14","0.092","29.529"
"15","0.098","29.576"
"16","0.105","28.943"
"17","0.112","30.157"
"18","0.118","28.701"
"19","0.125","29.473"
"20","0.131","29.696"
"21","0.138","28.910"
"22","0.144","30.265"
"23","0.151","29.061"
"24","0.157","29.358"
"25","0.164","29.780"
"26","0.171","28.893"
"27","0.177","30.224"
"28","0.184","29.259"
"29","0.190","29.327"
"30","0.197","29.821"
"31","0.203","28.786"
"32","0.210","30.220"
"33","0.216","29.379"
"34","0.223","29.255"
"35","0.230","29.899"
"36","0.236","28.670"
"37","0.243","30.009"
"38","0.249","29.447"
"39","0.256","29.077"
"40","0.262","29.939"
"41","0.269","28.656"
"42","0.276","29.596"
"43","0.282","29.526"
"44","0.289","29.071"
"45","0.295","30.055"
"46","0.302","28.638"
"47","0.308","29.521"
"48","0.315","29.611"
"49","0.321","28.974"
"50","0.328","30.179"
"51","0.335","28.859"
"52","0.341","29.447"
"53","0.348","29.714"
"54","0.354","28.875"
"55","0.361","30.243"
"56","0.367","29.240"
"57","0.374","29.358"
"58","0.380","29.751"
"59","0.387","28.890"
"60","0.394","30.286"
"61","0.400","29.294"
"62","0.407","29.241"
"63","0.413","29.792"
"64","0.420","28.693"
"65","0.426","30.118"
"66","0.433","29.385"
"67","0.440","29.137"
"68","0.446","29.882"
"69","0.453","28.607"
"70","0.459","29.774"
"71","0.466","29.413"
"72","0.472","29.107"
"73","0.479","29.872"
"74","0.485","28.633"
"75","0.492","29.530"
"76","0.499","29.519"
"77","0.505","29.020"
"78","0.512","30.089"
"79","0.518","28.667"
"80","0.525","29.485"
"81","0.531","29.615"
