"Device: USB-2408-2AO"
"Serial Number: 2060DB1"
"Channel Count: 1"
"Sample Count: 7644"
"Start Time: 7/6/2026 2:57:41.386 PM"
"Scan Rate: 152.438995361328"
"Sample","Time (s)","AI0 (°C)"
"0","0.000","34.421"
"1","0.007","34.569"
"2","0.013","35.266"
"3","0.020","33.487"
"4","0.026","35.413"
"5","0.033","34.574"
"6","0.039","34.522"
"7","0.046","35.422"
"8","0.052","33.532"
"9","0.059","35.183"
"10","0.066","34.671"
"11","0.072","34.382"
"12","0.079","35.718"
"13","0.085","33.453"
"14","0.092","35.080"
"15","0.098","34.836"
"16","0.105","34.168"
"17","0.112","35.926"
"18","0.118","33.882"
"19","0.125","34.973"
"20","0.131","34.969"
"21","0.138","34.054"
"22","0.144","35.979"
"23","0.151","34.293"
"24","0.157","34.850"
"25","0.164","34.960"
"26","0.171","33.886"
"27","0.177","36.010"
"28","0.184","34.341"
"29","0.190","34.726"
"30","0.197","35.118"
"31","0.203","33.528"
"32","0.210","35.771"
"33","0.216","34.441"
"34","0.223","34.423"
"35","0.230","35.302"
"36","0.236","33.505"
"37","0.243","35.305"
"38","0.249","34.600"
"39","0.256","34.481"
"40","0.262","35.432"
"41","0.269","33.484"
"42","0.276","35.072"
"43","0.282","34.711"
"44","0.289","34.392"
"45","0.295","35.741"
"46","0.302","33.532"
"47","0.308","35.056"
"48","0.315","34.883"
"49","0.321","34.134"
"50","0.328","35.996"
"51","0.335","34.002"
"52","0.341","34.890"
"53","0.348","34.995"
"54","0.354","34.073"
"55","0.361","36.035"
"56","0.367","34.384"
"57","0.374","34.809"
"58","0.380","35.051"
"59","0.387","33.801"
"60","0.394","36.105"
"61","0.400","34.465"
"62","0.407","34.670"
"63","0.413","35.227"
"64","0.420","33.578"
"65","0.426","35.741"
"66","0.433","34.570"
"67","0.440","34.518"
"68","0.446","35.365"
"69","0.453","33.515"
"70","0.459","35.214"
"71","0.466","34.611"
"72","0.472","34.515"
"73","0.479","35.524"
"74","0.485","33.471"
"75","0.492","35.089"
"76","0.499","34.740"
"77","0.505","34.305"
"78","0.512","35.897"
"79","0.518","33.654"
"80","0.525","34.987"
"81","0.531","34.894"
"82","0.538","34.113"
"83","0.544","35.711"
"84","0.551","34.307"
"85","0.558","34.756"
"86","0.564","35.076"
"87","0.571","34.051"
"88","0.577","35.838"
"89","0.584","34.586"
"90","0.590","34.673"
"91","0.597","35.131"
"92","0.604","33.877"
"93","0.610","35.786"
"94","0.617","34.632"
"95","0.623","34.544"
"96","0.630","35.290"
"97","0.636","33.734"
"98","0.643","35.402"
"99","0.649","34.728"
"100","0.656","34.408"
"101","0.663","35.358"
"102","0.669","33.628"
"103","0.676","34.987"
"104","0.682","34.768"
"105","0.689","34.390"
"106","0.695","35.529"
"107","0.702","33.688"
"108","0.708","34.920"
"109","0.715","34.889"
"110","0.722","34.224"
"111","0.728","35.755"
"112","0.735","33.961"
"113","0.741","34.815"
"114","0.748","34.969"
"115","0.754","34.080"
"116","0.761","35.977"
"117","0.768","34.279"
"118","0.774","34.872"
"119","0.781","35.001"
"120","0.787","33.996"
"121","0.794","35.816"
"122","0.800","34.571"
"123","0.807","34.691"
"124","0.813","35.161"
"125","0.820","33.809"
"126","0.827","35.746"
"127","0.833","34.603"
"128","0.840","34.520"
"129","0.846","35.288"
"130","0.853","33.715"
"131","0.859","35.297"
"132","0.866","34.704"
"133","0.872","34.434"
"134","0.879","35.413"
"135","0.886","33.667"
"136","0.892","34.937"
"137","0.899","34.769"
"138","0.905","34.345"
"139","0.912","35.571"
"140","0.918","33.649"
"141","0.925","34.901"
"142","0.932","34.933"
"143","0.938","34.145"
"144","0.945","35.805"
"145","0.951","34.044"
"146","0.958","34.821"
"147","0.964","35.063"
"148","0.971","34.107"
"149","0.977","35.825"
"150","0.984","34.469"
"151","0.991","34.742"
"152","0.997","35.072"
"153","1.004","33.962"
"154","1.010","35.842"
"155","1.017","34.561"
"156","1.023","34.673"
"157","1.030","35.191"
"158","1.036","33.716"
"159","1.043","35.630"
"160","1.050","34.631"
"161","1.056","34.461"
"162","1.063","35.323"
"163","1.069","33.660"
"164","1.076","35.147"
"165","1.082","34.670"
"166","1.089","34.372"
"167","1.096","35.385"
"168","1.102","33.679"
"169","1.109","34.908"
"170","1.115","34.775"
"171","1.122","34.305"
"172","1.128","35.638"
"173","1.135","33.717"
"174","1.141","34.866"
"175","1.148","34.936"
"176","1.155","34.138"
"177","1.161","35.808"
"178","1.168","34.187"
"179","1.174","34.793"
"180","1.181","35.055"
"181","1.187","34.040"
"182","1.194","35.785"
"183","1.200","34.451"
"184","1.207","34.731"
"185","1.214","35.090"
"186","1.220","33.888"
"187","1.227","35.859"
"188","1.233","34.534"
"189","1.240","34.585"
"190","1.246","35.240"
"191","1.253","33.740"
"192","1.260","35.505"
"193","1.266","34.604"
"194","1.273","34.407"
"195","1.279","35.304"
"196","1.286","33.636"
"197","1.292","35.058"
"198","1.299","34.713"
"199","1.305","34.381"
"200","1.312","35.449"
"201","1.319","33.621"
