"Device: USB-2408-2AO"
"Serial Number: 2060DB1"
"Channel Count: 2"
"Sample Count: 1940"
"Start Time: 7/8/2026 2:33:11.0 PM"
"Scan Rate: 10"
"Sample","Date/Time","AI0 (°C)","AI1 (°C)"
"0","7/8/2026 2:33:11.0 PM","27.624","28.032"
"1","7/8/2026 2:33:11.1 PM","27.644","28.009"
"2","7/8/2026 2:33:11.2 PM","27.630","27.988"
"3","7/8/2026 2:33:11.3 PM","27.628","28.018"
"4","7/8/2026 2:33:11.4 PM","27.587","28.020"
"5","7/8/2026 2:33:11.5 PM","27.616","28.013"
"6","7/8/2026 2:33:11.6 PM","27.608","27.984"
"7","7/8/2026 2:33:11.7 PM","27.629","28.014"
"8","7/8/2026 2:33:11.8 PM","27.611","28.004"
"9","7/8/2026 2:33:11.9 PM","27.628","28.009"
"10","7/8/2026 2:33:12.0 PM","27.636","27.993"
"11","7/8/2026 2:33:12.1 PM","27.621","28.020"
"12","7/8/2026 2:33:12.2 PM","27.636","27.985"
"13","7/8/2026 2:33:12.3 PM","29.949","28.045"
"14","7/8/2026 2:33:12.4 PM","36.892","28.181"
"15","7/8/2026 2:33:12.5 PM","40.405","28.272"
"16","7/8/2026 2:33:12.6 PM","42.376","28.361"
"17","7/8/2026 2:33:12.7 PM","43.996","28.421"
"18","7/8/2026 2:33:12.8 PM","45.278","28.495"
"19","7/8/2026 2:33:12.9 PM","46.222","28.545"
"20","7/8/2026 2:33:13.0 PM","46.775","28.623"
"21","7/8/2026 2:33:13.1 PM","47.475","28.664"
"22","7/8/2026 2:33:13.2 PM","48.008","28.707"
"23","7/8/2026 2:33:13.3 PM","48.428","28.727"
"24","7/8/2026 2:33:13.4 PM","48.635","28.762"
"25","7/8/2026 2:33:13.5 PM","48.954","28.795"
"26","7/8/2026 2:33:13.6 PM","49.252","28.819"
"27","7/8/2026 2:33:13.7 PM","49.301","28.857"
"28","7/8/2026 2:33:13.8 PM","49.538","28.846"
"29","7/8/2026 2:33:13.9 PM","49.773","28.884"
"30","7/8/2026 2:33:14.0 PM","50.034","28.888"
"31","7/8/2026 2:33:14.1 PM","50.332","28.897"
"32","7/8/2026 2:33:14.2 PM","50.556","28.908"
"33","7/8/2026 2:33:14.3 PM","50.751","28.923"
"34","7/8/2026 2:33:14.4 PM","50.937","28.959"
"35","7/8/2026 2:33:14.5 PM","51.148","28.972"
"36","7/8/2026 2:33:14.6 PM","51.368","28.986"
"37","7/8/2026 2:33:14.7 PM","51.633","29.015"
"38","7/8/2026 2:33:14.8 PM","51.929","29.046"
"39","7/8/2026 2:33:14.9 PM","52.081","29.077"
"40","7/8/2026 2:33:15.0 PM","52.105","29.096"
"41","7/8/2026 2:33:15.1 PM","52.222","29.157"
"42","7/8/2026 2:33:15.2 PM","52.418","29.166"
"43","7/8/2026 2:33:15.3 PM","52.508","29.168"
"44","7/8/2026 2:33:15.4 PM","52.655","29.240"
"45","7/8/2026 2:33:15.5 PM","52.872","29.221"
"46","7/8/2026 2:33:15.6 PM","53.128","29.279"
"47","7/8/2026 2:33:15.7 PM","53.145","29.288"
"48","7/8/2026 2:33:15.8 PM","53.270","29.310"
"49","7/8/2026 2:33:15.9 PM","53.420","29.337"
"50","7/8/2026 2:33:16.0 PM","53.637","29.351"
"51","7/8/2026 2:33:16.1 PM","53.635","29.373"
"52","7/8/2026 2:33:16.2 PM","53.805","29.381"
"53","7/8/2026 2:33:16.3 PM","53.931","29.393"
"54","7/8/2026 2:33:16.4 PM","54.016","29.469"
"55","7/8/2026 2:33:16.5 PM","54.165","29.477"
"56","7/8/2026 2:33:16.6 PM","54.196","29.487"
"57","7/8/2026 2:33:16.7 PM","54.304","29.513"
"58","7/8/2026 2:33:16.8 PM","54.371","29.513"
"59","7/8/2026 2:33:16.9 PM","54.584","29.543"
"60","7/8/2026 2:33:17.0 PM","54.565","29.591"
"61","7/8/2026 2:33:17.1 PM","54.611","29.568"
"62","7/8/2026 2:33:17.2 PM","54.734","29.615"
"63","7/8/2026 2:33:17.3 PM","54.795","29.653"
"64","7/8/2026 2:33:17.4 PM","54.832","29.663"
"65","7/8/2026 2:33:17.5 PM","54.919","29.693"
"66","7/8/2026 2:33:17.6 PM","55.026","29.749"
"67","7/8/2026 2:33:17.7 PM","55.062","29.734"
"68","7/8/2026 2:33:17.8 PM","55.145","29.729"
"69","7/8/2026 2:33:17.9 PM","55.262","29.761"
"70","7/8/2026 2:33:18.0 PM","55.362","29.825"
"71","7/8/2026 2:33:18.1 PM","55.427","29.808"
"72","7/8/2026 2:33:18.2 PM","55.469","29.834"
"73","7/8/2026 2:33:18.3 PM","55.570","29.890"
"74","7/8/2026 2:33:18.4 PM","55.617","29.906"
"75","7/8/2026 2:33:18.5 PM","55.743","29.908"
"76","7/8/2026 2:33:18.6 PM","55.804","29.929"
"77","7/8/2026 2:33:18.7 PM","55.943","29.997"
"78","7/8/2026 2:33:18.8 PM","55.982","30.008"
"79","7/8/2026 2:33:18.9 PM","56.153","30.018"
"80","7/8/2026 2:33:19.0 PM","56.195","30.044"
"81","7/8/2026 2:33:19.1 PM","56.245","30.070"
"82","7/8/2026 2:33:19.2 PM","56.363","30.101"
"83","7/8/2026 2:33:19.3 PM","56.461","30.108"
"84","7/8/2026 2:33:19.4 PM","56.474","30.145"
"85","7/8/2026 2:33:19.5 PM","56.533","30.129"
"86","7/8/2026 2:33:19.6 PM","56.631","30.163"
"87","7/8/2026 2:33:19.7 PM","56.677","30.207"
"88","7/8/2026 2:33:19.8 PM","56.690","30.222"
"89","7/8/2026 2:33:19.9 PM","56.808","30.250"
"90","7/8/2026 2:33:20.0 PM","56.910","30.254"
"91","7/8/2026 2:33:20.1 PM","56.955","30.306"
"92","7/8/2026 2:33:20.2 PM","57.021","30.323"
"93","7/8/2026 2:33:20.3 PM","57.034","30.354"
"94","7/8/2026 2:33:20.4 PM","57.126","30.376"
"95","7/8/2026 2:33:20.5 PM","57.155","30.387"
"96","7/8/2026 2:33:20.6 PM","57.251","30.413"
"97","7/8/2026 2:33:20.7 PM","57.264","30.443"
"98","7/8/2026 2:33:20.8 PM","57.302","30.480"
"99","7/8/2026 2:33:20.9 PM","57.454","30.519"
"100","7/8/2026 2:33:21.0 PM","57.414","30.447"
"101","7/8/2026 2:33:21.1 PM","57.432","30.466"
"102","7/8/2026 2:33:21.2 PM","57.492","30.495"
"103","7/8/2026 2:33:21.3 PM","57.711","30.559"
"104","7/8/2026 2:33:21.4 PM","57.575","30.566"
"105","7/8/2026 2:33:21.5 PM","57.776","30.607"
"106","7/8/2026 2:33:21.6 PM","57.733","30.616"
"107","7/8/2026 2:33:21.7 PM","57.947","30.647"
"108","7/8/2026 2:33:21.8 PM","58.090","30.727"
"109","7/8/2026 2:33:21.9 PM","58.083","30.744"
"110","7/8/2026 2:33:22.0 PM","58.016","30.749"
"111","7/8/2026 2:33:22.1 PM","58.130","30.775"
"112","7/8/2026 2:33:22.2 PM","58.296","30.835"
"113","7/8/2026 2:33:22.3 PM","58.042","30.829"
"114","7/8/2026 2:33:22.4 PM","58.071","30.873"
"115","7/8/2026 2:33:22.5 PM","58.211","30.884"
"116","7/8/2026 2:33:22.6 PM","58.281","30.894"
"117","7/8/2026 2:33:22.7 PM","58.114","30.948"
"118","7/8/2026 2:33:22.8 PM","58.132","30.940"
"119","7/8/2026 2:33:22.9 PM","58.202","30.990"
"120","7/8/2026 2:33:23.0 PM","58.301","30.967"
"121","7/8/2026 2:33:23.1 PM","58.285","30.989"
"122","7/8/2026 2:33:23.2 PM","58.288","31.015"
"123","7/8/2026 2:33:23.3 PM","58.485","31.039"
"124","7/8/2026 2:33:23.4 PM","58.388","31.078"
"125","7/8/2026 2:33:23.5 PM","58.670","31.095"
"126","7/8/2026 2:33:23.6 PM","58.522","31.105"
"127","7/8/2026 2:33:23.7 PM","58.763","31.102"
"128","7/8/2026 2:33:23.8 PM","58.884","31.171"
"129","7/8/2026 2:33:23.9 PM","58.792","31.165"
"130","7/8/2026 2:33:24.0 PM","58.651","31.180"
"131","7/8/2026 2:33:24.1 PM","58.730","31.201"
"132","7/8/2026 2:33:24.2 PM","58.894","31.216"
"133","7/8/2026 2:33:24.3 PM","58.679","31.222"
"134","7/8/2026 2:33:24.4 PM","58.676","31.246"
"135","7/8/2026 2:33:24.5 PM","58.647","31.243"
"136","7/8/2026 2:33:24.6 PM","58.809","31.261"
"137","7/8/2026 2:33:24.7 PM","58.678","31.302"
"138","7/8/2026 2:33:24.8 PM","58.627","31.287"
"139","7/8/2026 2:33:24.9 PM","58.663","31.340"
"140","7/8/2026 2:33:25.0 PM","58.833","31.346"
"141","7/8/2026 2:33:25.1 PM","58.695","31.380"
"142","7/8/2026 2:33:25.2 PM","58.693","31.391"
"143","7/8/2026 2:33:25.3 PM","58.844","31.435"
"144","7/8/2026 2:33:25.4 PM","58.793","31.458"
